=== 2. PROCESSES & SERVICES ===
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          90  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/15]
root          91  0.0  0.0      0     0 ?        S    Aug07   0:17  \_ [migration/15]
root          92  0.0  0.0      0     0 ?        S    Aug07   3:20  \_ [ksoftirqd/15]
root          94  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/15:0H-kblockd]
root          95  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/16]
root          96  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/16]
root          97  0.0  0.0      0     0 ?        S    Aug07   2:56  \_ [ksoftirqd/16]
root          99  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/16:0H-events_highpri]
root         100  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/17]
root         101  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/17]
root         102  0.0  0.0      0     0 ?        S    Aug07   3:06  \_ [ksoftirqd/17]
root         104  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/17:0H-events_highpri]
root         105  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/18]
root         106  0.0  0.0      0     0 ?        S    Aug07   0:12  \_ [migration/18]
root         107  0.0  0.0      0     0 ?        S    Aug07   3:18  \_ [ksoftirqd/18]
root         109  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/18:0H-events_highpri]
root         110  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/19]
root         111  0.0  0.0      0     0 ?        S    Aug07   0:12  \_ [migration/19]
root         112  0.0  0.0      0     0 ?        S    Aug07   3:17  \_ [ksoftirqd/19]
root         114  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/19:0H-events_highpri]
root         115  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/20]
root         116  0.0  0.0      0     0 ?        S    Aug07   0:12  \_ [migration/20]
root         117  0.0  0.0      0     0 ?        S    Aug07   3:25  \_ [ksoftirqd/20]
root         119  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/20:0H-events_highpri]
root         120  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/21]
root         121  0.0  0.0      0     0 ?        S    Aug07   0:12  \_ [migration/21]
root         122  0.0  0.0      0     0 ?        S    Aug07   3:23  \_ [ksoftirqd/21]
root         124  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/21:0H-events_highpri]
root         125  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/22]
root         126  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/22]
root         127  0.0  0.0      0     0 ?        S    Aug07   3:26  \_ [ksoftirqd/22]
root         129  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/22:0H-events_highpri]
root         130  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/23]
root         131  0.0  0.0      0     0 ?        S    Aug07   0:16  \_ [migration/23]
